c1_00s_p, 0.00
c1_00s_beta, 0.151
c1_00s_starbeta,0.151***
c1_00s_se, 0.053
c1_00s_n,291532
c1_00s_r2, 0.81
c1_00n_p, 0.73
c1_00n_beta, 0.026
c1_00n_starbeta, 0.026
c1_00n_se, 0.076
c1_00n_n,291532
c1_00n_r2, 0.81
c2_00s_p, 0.00
c2_00s_beta, 0.163
c2_00s_starbeta,0.163***
c2_00s_se, 0.053
c2_00s_n,291532
c2_00s_r2, 0.81
c2_00n_p, 0.65
c2_00n_beta, 0.035
c2_00n_starbeta, 0.035
c2_00n_se, 0.077
c2_00n_n,291532
c2_00n_r2, 0.81
c2_02s_p, 0.10
c2_02s_beta, 0.094
c2_02s_starbeta, 0.094
c2_02s_se, 0.058
c2_02s_n,291532
c2_02s_r2, 0.81
c2_02n_p, 0.43
c2_02n_beta, 0.046
c2_02n_starbeta, 0.046
c2_02n_se, 0.059
c2_02n_n,291532
c2_02n_r2, 0.81
c2_25s_p, 0.47
c2_25s_beta, 0.032
c2_25s_starbeta, 0.032
c2_25s_se, 0.044
c2_25s_n,291532
c2_25s_r2, 0.81
c2_25n_p, 0.13
c2_25n_beta,-0.069
c2_25n_starbeta,-0.069
c2_25n_se, 0.046
c2_25n_n,291532
c2_25n_r2, 0.81
c3_00s_p, 0.00
c3_00s_beta, 0.144
c3_00s_starbeta,0.144***
c3_00s_se, 0.051
c3_00s_n,291110
c3_00s_r2, 0.81
c3_00n_p, 0.59
c3_00n_beta, 0.040
c3_00n_starbeta, 0.040
c3_00n_se, 0.076
c3_00n_n,291110
c3_00n_r2, 0.81
c3_02s_p, 0.28
c3_02s_beta, 0.064
c3_02s_starbeta, 0.064
c3_02s_se, 0.060
c3_02s_n,291110
c3_02s_r2, 0.81
c3_02n_p, 0.40
c3_02n_beta, 0.049
c3_02n_starbeta, 0.049
c3_02n_se, 0.059
c3_02n_n,291110
c3_02n_r2, 0.81
c3_25s_p, 0.72
c3_25s_beta, 0.015
c3_25s_starbeta, 0.015
c3_25s_se, 0.042
c3_25s_n,291110
c3_25s_r2, 0.81
c3_25n_p, 0.10
c3_25n_beta,-0.072
c3_25n_starbeta,-0.072
c3_25n_se, 0.044
c3_25n_n,291110
c3_25n_r2, 0.81
c4_00s_p, 0.01
c4_00s_beta, 0.153
c4_00s_starbeta,0.153***
c4_00s_se, 0.055
c4_00s_n,99480
c4_00s_r2, 0.79
c4_00n_p, 0.51
c4_00n_beta, 0.056
c4_00n_starbeta, 0.056
c4_00n_se, 0.084
c4_00n_n,99480
c4_00n_r2, 0.79
c4_02s_p, 0.12
c4_02s_beta, 0.096
c4_02s_starbeta, 0.096
c4_02s_se, 0.062
c4_02s_n,99480
c4_02s_r2, 0.79
c4_02n_p, 0.16
c4_02n_beta, 0.087
c4_02n_starbeta, 0.087
c4_02n_se, 0.062
c4_02n_n,99480
c4_02n_r2, 0.79
c4_25s_p, 0.30
c4_25s_beta, 0.048
c4_25s_starbeta, 0.048
c4_25s_se, 0.046
c4_25s_n,99480
c4_25s_r2, 0.79
c4_25n_p, 0.42
c4_25n_beta,-0.037
c4_25n_starbeta,-0.037
c4_25n_se, 0.046
c4_25n_n,99480
c4_25n_r2, 0.79
c5_00s_p, 0.00
c5_00s_beta, 0.192
c5_00s_starbeta,0.192***
c5_00s_se, 0.058
c5_00s_n,74408
c5_00s_r2, 0.79
c5_00n_p, 0.29
c5_00n_beta, 0.087
c5_00n_starbeta, 0.087
c5_00n_se, 0.082
c5_00n_n,74408
c5_00n_r2, 0.79
c5_02s_p, 0.06
c5_02s_beta, 0.115
c5_02s_starbeta,0.115*
c5_02s_se, 0.062
c5_02s_n,74408
c5_02s_r2, 0.79
c5_02n_p, 0.14
c5_02n_beta, 0.095
c5_02n_starbeta, 0.095
c5_02n_se, 0.064
c5_02n_n,74408
c5_02n_r2, 0.79
c5_25s_p, 0.34
c5_25s_beta, 0.046
c5_25s_starbeta, 0.046
c5_25s_se, 0.048
c5_25s_n,74408
c5_25s_r2, 0.79
c5_25n_p, 0.27
c5_25n_beta,-0.051
c5_25n_starbeta,-0.051
c5_25n_se, 0.046
c5_25n_n,74408
c5_25n_r2, 0.79
c6_00s_p, 0.00
c6_00s_beta, 0.205
c6_00s_starbeta,0.205***
c6_00s_se, 0.071
c6_00s_n,19222
c6_00s_r2, 0.80
c6_00n_p, 0.40
c6_00n_beta, 0.075
c6_00n_starbeta, 0.075
c6_00n_se, 0.088
c6_00n_n,19222
c6_00n_r2, 0.80
c6_02s_p, 0.04
c6_02s_beta, 0.145
c6_02s_starbeta,0.145**
c6_02s_se, 0.071
c6_02s_n,19222
c6_02s_r2, 0.80
c6_02n_p, 0.18
c6_02n_beta, 0.105
c6_02n_starbeta, 0.105
c6_02n_se, 0.079
c6_02n_n,19222
c6_02n_r2, 0.80
c6_25s_p, 0.49
c6_25s_beta, 0.041
c6_25s_starbeta, 0.041
c6_25s_se, 0.060
c6_25s_n,19222
c6_25s_r2, 0.80
c6_25n_p, 0.40
c6_25n_beta,-0.048
c6_25n_starbeta,-0.048
c6_25n_se, 0.056
c6_25n_n,19222
c6_25n_r2, 0.80
