c1_00_p, 0.65
c1_00_beta, 0.015
c1_00_starbeta, 0.015
c1_00_se, 0.034
c1_00_n,1263082
c1_00_r2, 0.26
c1_02_p, 0.86
c1_02_beta, 0.005
c1_02_starbeta, 0.005
c1_02_se, 0.027
c1_02_n,1263082
c1_02_r2, 0.26
c1_25_p, 0.03
c1_25_beta, 0.052
c1_25_starbeta,0.052**
c1_25_se, 0.024
c1_25_n,1263082
c1_25_r2, 0.26
c2_00_p, 0.79
c2_00_beta, 0.008
c2_00_starbeta, 0.008
c2_00_se, 0.031
c2_00_n,1262478
c2_00_r2, 0.28
c2_02_p, 1.00
c2_02_beta, 0.000
c2_02_starbeta, 0.000
c2_02_se, 0.026
c2_02_n,1262478
c2_02_r2, 0.28
c2_25_p, 0.11
c2_25_beta, 0.035
c2_25_starbeta, 0.035
c2_25_se, 0.022
c2_25_n,1262478
c2_25_r2, 0.28
c3_00_p, 0.90
c3_00_beta, 0.005
c3_00_starbeta, 0.005
c3_00_se, 0.038
c3_00_n,69614
c3_00_r2, 0.28
c3_02_p, 0.44
c3_02_beta,-0.026
c3_02_starbeta,-0.026
c3_02_se, 0.033
c3_02_n,69614
c3_02_r2, 0.28
c3_25_p, 0.47
c3_25_beta, 0.019
c3_25_starbeta, 0.019
c3_25_se, 0.027
c3_25_n,69614
c3_25_r2, 0.28
c4_00_p, 0.00
c4_00_beta, 0.185
c4_00_starbeta,0.185***
c4_00_se, 0.061
c4_00_n,291532
c4_00_r2, 0.81
c4_02_p, 0.02
c4_02_beta, 0.148
c4_02_starbeta,0.148**
c4_02_se, 0.061
c4_02_n,291532
c4_02_r2, 0.81
c4_25_p, 0.20
c4_25_beta, 0.073
c4_25_starbeta, 0.073
c4_25_se, 0.058
c4_25_n,291532
c4_25_r2, 0.81
c4_yr_p, 0.20
c4_yr_beta, 0.073
c4_yr_starbeta, 0.073
c4_yr_se, 0.058
c4_yr_n,291532
c4_yr_r2, 0.81
c5_00_p, 0.01
c5_00_beta, 0.150
c5_00_starbeta,0.150**
c5_00_se, 0.058
c5_00_n,291110
c5_00_r2, 0.81
c5_02_p, 0.07
c5_02_beta, 0.105
c5_02_starbeta,0.105*
c5_02_se, 0.058
c5_02_n,291110
c5_02_r2, 0.81
c5_25_p, 0.49
c5_25_beta, 0.036
c5_25_starbeta, 0.036
c5_25_se, 0.053
c5_25_n,291110
c5_25_r2, 0.81
c5_yr_p, 0.49
c5_yr_beta, 0.036
c5_yr_starbeta, 0.036
c5_yr_se, 0.053
c5_yr_n,291110
c5_yr_r2, 0.81
c6_00_p, 0.01
c6_00_beta, 0.098
c6_00_starbeta,0.098**
c6_00_se, 0.040
c6_00_n,291110
c6_00_r2, 0.81
c6_02_p, 0.21
c6_02_beta, 0.058
c6_02_starbeta, 0.058
c6_02_se, 0.046
c6_02_n,291110
c6_02_r2, 0.81
c6_25_p, 0.79
c6_25_beta,-0.009
c6_25_starbeta,-0.009
c6_25_se, 0.035
c6_25_n,291110
c6_25_r2, 0.81
c6_yr00_p, 0.73
c6_yr00_beta, 0.004
c6_yr00_starbeta, 0.004
c6_yr00_se, 0.013
c6_yr00_n,291110
c6_yr00_r2, 0.81
c6_yr02_p, 0.49
c6_yr02_beta,-0.010
c6_yr02_starbeta,-0.010
c6_yr02_se, 0.015
c6_yr02_n,291110
c6_yr02_r2, 0.81
c6_yr25_p, 0.15
c6_yr25_beta,-0.014
c6_yr25_starbeta,-0.014
c6_yr25_se, 0.010
c6_yr25_n,291110
c6_yr25_r2, 0.81
c7_00_p, 0.04
c7_00_beta, 0.167
c7_00_starbeta,0.167**
c7_00_se, 0.082
c7_00_n,19222
c7_00_r2, 0.80
c7_02_p, 0.06
c7_02_beta, 0.145
c7_02_starbeta,0.145*
c7_02_se, 0.077
c7_02_n,19222
c7_02_r2, 0.80
c7_25_p, 0.67
c7_25_beta, 0.030
c7_25_starbeta, 0.030
c7_25_se, 0.071
c7_25_n,19222
c7_25_r2, 0.80
c7_yr_p, 0.67
c7_yr_beta, 0.030
c7_yr_starbeta, 0.030
c7_yr_se, 0.071
c7_yr_n,19222
c7_yr_r2, 0.80
c8_00_p, 0.02
c8_00_beta, 0.142
c8_00_starbeta,0.142**
c8_00_se, 0.059
c8_00_n,19222
c8_00_r2, 0.80
c8_02_p, 0.05
c8_02_beta, 0.128
c8_02_starbeta,0.128**
c8_02_se, 0.065
c8_02_n,19222
c8_02_r2, 0.80
c8_25_p, 0.81
c8_25_beta, 0.013
c8_25_starbeta, 0.013
c8_25_se, 0.052
c8_25_n,19222
c8_25_r2, 0.80
c8_yr00_p, 0.07
c8_yr00_beta, 0.027
c8_yr00_starbeta,0.027*
c8_yr00_se, 0.015
c8_yr00_n,19222
c8_yr00_r2, 0.80
c8_yr02_p, 0.56
c8_yr02_beta,-0.011
c8_yr02_starbeta,-0.011
c8_yr02_se, 0.018
c8_yr02_n,19222
c8_yr02_r2, 0.80
c8_yr25_p, 0.38
c8_yr25_beta,-0.012
c8_yr25_starbeta,-0.012
c8_yr25_se, 0.013
c8_yr25_n,19222
c8_yr25_r2, 0.80
