c1_p, 0.07
c1_beta, 1.284
c1_starbeta,1.284*
c1_se, 0.698
c1_n,2432
c1_r2,-0.45
c2_p, 0.24
c2_beta, 0.807
c2_starbeta, 0.807
c2_se, 0.693
c2_n,2426
c2_r2,-0.19
c3_p, 0.02
c3_beta, 2.901
c3_starbeta,2.901**
c3_se, 1.222
c3_n,2533
c3_r2,-0.47
c4_p, 0.05
c4_beta, 2.373
c4_starbeta,2.373**
c4_se, 1.206
c4_n,2525
c4_r2,-0.42
c5_p, 0.02
c5_beta, 2.512
c5_starbeta,2.512**
c5_se, 1.094
c5_n,2533
c5_r2,-0.43
c6_p, 0.06
c6_beta, 2.180
c6_starbeta,2.180*
c6_se, 1.171
c6_n,2525
c6_r2,-0.36
